FILMS:
(500) Days of Summer | (500) Dias com Ela ; 500 Dias com Summer ; 500 días con ella ; 500 dni miłości ; 初恋500天 ; (500) jours ensemble ; 500일의 썸머 ; （500）日のサマー ; (500) días juntos ; Yayın 500 Günü ; 500 giorni insieme ; 仲夏500天 ; 19913 ; 500 days of summer
A Knight's Tale | Knight's Tale ; 騎士風雲錄 ; Corazón de caballero ; O thrylos enos ippoti ; Rock You! ; Priča o vitezu ; Kato ritsarite ; Istoriya rytsarya ; Istoriya lytsarya ; Chevalier ; ロック・ユー! ; 9476 ; knights tale
A Little Something Extra | Un p'tit truc en plus ; 1152014 ; little something extra
A Minecraft Movie | Minecraft ; Bir Minecraft Filmi ; Մայնքրաֆթ ; En Minecraftfilm ; 마인크래프트 무비 ; Minecraft: Фільм ; Minecraft, Le Film ; A Minecraft Movie: Block Party Edition! ; Minecraft: Филм ; A Minecraft Movie: Minecraft Block Party ; A Minecraft Movie - ASL Version ; Майнкрафт. Кіно ; 950387 ; minecraft movie
A Mother's Special Love | 1083324 ; mothers special love
A Real Pain | 跳痛之旅 ; Une vraie douleur ; Gerçək Acı ; Իրական Ցավը ; Un dolor real ; 真正的痛苦 ; リアル・ペイン～心の旅～ ; 心伤旅行团 ; 1013850 ; real pain
A Silent Voice: The Movie | The Shape of Voice ; 聲之形 ; Eiga Koe no Katachi ; 声之形 ; Koe no Katachi ; Uma Voz Silenciosa ; A Silent Voice ; 聲の形 ; Una Voz Silenciosa ; A Voz do Silêncio: Koe no Katachi ; รักไร้เสียง ; 378064 ; silent voice the movie
A Star Is Born | مولد نجم ; Зірка народилася ; Une étoile est née ; 一个明星的诞生 ; Zrodila se hvězda ; Ha nacido una estrella ; 332562 ; star is born
A Very Jonas Christmas Movie | Un Noël chez les Jonas Brothers ; Bir Jonas Noeli ; 1425122 ; very jonas christmas movie
About Time | 回到最爱的一天 ; 真爱每一天 ; Osa Fernei o Hronos ; Όσα Φέρνει ο Χρόνος ; Una cuestión de tiempo ; 어바웃 타임 ; Czas na miłość ; About Time：2013 ; Cuestión de tiempo ; Questão de Tempo ; 122906 ; about time
Afternoons of Solitude | Nachmittage der Einsamkeit ; Popołudnia samotności ; 975324 ; afternoons of solitude
Aftersun | Poslije sunca ; Akharei Ha'Shemesh ; Güneş Sonrası ; 애프터썬 ; 日麗追憶 ; 日麗 ; کرم پس از آفتاب ; アフターサン ; 965150 ; aftersun
Akira | อากีรา ไม่เหมือนคน ; 아키라 ; 光明战士阿基拉 ; 亚基拉 ; アキラ ; AKIRA：1988 ; 폭풍 소년 ; Акира ; آکیرا ; אקירה ; അകിര ; 149 ; akira
Allegiant | 赤诚者･末世醒觉 ; Дивергент 3: Аллігент ; Дивергент, глава 3: За стеной ; Aliance ; La Série Divergence - Allégeance ; 다이버전트 3 ; Uyumsuz Serisi Yandaş Bölüm 1 ; Dị Biệt 3: Những Kẻ Trung Kiên ; ダイバージェントFINAL ; ダイバージェントFINAL：2016 ; Divergent 3: Allegiant ; A beavatott-sorozat: A hűséges ; Divergente la serie: Leal ; Divergent 3 ; סאגת מפוצלים: נאמנים ; 262504 ; allegiant
Alvin and the Chipmunks | Alvin ja koopaoravad ; Sóc Siêu Quậy ; Alvin və Sincablar ; 鼠来宝 ; 6477 ; alvin and the chipmunks
Alvin and the Chipmunks: The Squeakquel | Alvin and the Chipmunks 2 ; Alvin & the Chipmunks - The Squeakuel ; 艾尔文和他的金花鼠兄弟2 ; 花鼠明星俱乐部2 ; Alvin et les Chipmunks - La suite ; Alvin ja koopaoravad 2 ; Sóc Siêu Quậy 2 ; 鼠来宝2：明星俱乐部 ; Alvin and the Chipmunks 2: The Squeakquel ; 23398 ; alvin and the chipmunks the squeakquel
